,popularity_index,album_release_date,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
42,0,2/10/2022,Sofía Reyes,Mal De Amores,Marte,1uK5rDY3BnikyG0sl3tPpc,0.704,0.604,5,-5.254,1,0.0556,0,0.126,0.642,90.028,218801,4
46,0,2/10/2022,Central Cee,Khabib,Khabib,194U52vElkbmFe8QTefrgw,0.773,0.672,4,-5.885,0,0.225,0,0.0851,0.624,145.014,201169,4
60,0,2/10/2022,Foals,2am,2am,04no0XXxXd3F5uLZi3qDYK,0.698,0.794,0,-3.333,1,0.0483,0.605,0.0622,0.861,135.981,224179,4
68,7,2/10/2022,Wisin & Yandel,NO SE OLVIDA,NO SE OLVIDA,49qCDjCcu8OvKlSDBYDzHv,0.794,0.739,11,-3.758,1,0.0587,0,0.266,0.448,95.046,250841,4
1,0,2/11/2022,Nicki Minaj,Bussin,Bussin,7lcI4X8RZxK4zIknJcwpBq,0.893,0.699,11,-8.059,1,0.0517,3.02E-06,0.128,0.747,139.972,136761,4
3,0,2/11/2022,Ed Sheeran,The Joker And The Queen (feat. Taylor Swift),The Joker And The Queen (feat. Taylor Swift),6N1K5OVVCopBjGViHs2IvP,0.528,0.309,0,-7.398,1,0.0329,2.10E-06,0.282,0.307,133.83,185422,4
5,0,2/11/2022,Future,Worst Day,Worst Day,70pwY1UfPmSVE3ybPjFy0p,0.646,0.597,1,-6.045,1,0.401,0,0.0958,0.6,88.506,184893,4
8,0,2/11/2022,Jazmine Sullivan,"Heaux Tales, Mo' Tales: The Deluxe",Roster,7ydDdvP0VpVLvaK8iG63HH,0.667,0.471,8,-6.64,1,0.0332,3.29E-06,0.105,0.456,82.954,219787,4
9,0,2/11/2022,Fivio Foreign,City of Gods,City of Gods,4huBDGP4I3S0pYI0EaRN1c,0.474,0.801,8,-5.978,0,0.375,0,0.322,0.497,147.356,256000,4
10,0,2/11/2022,$NOT,Ethereal,ALONE (feat. Trippie Redd),3nifv7CIkBQTOKzATNEGNK,0.561,0.651,11,-7.222,1,0.129,2.90E-06,0.208,0.317,71.511,136600,4
11,0,2/11/2022,Doja Cat,Celebrity Skin,Celebrity Skin,66bLKGXOk3kPWWHP7Tbrki,0.475,0.885,11,-4.735,0,0.0533,9.93E-05,0.279,0.413,133.951,159651,4
12,0,2/11/2022,Becky G,MAMIII,MAMIII,1ri9ZUkBJVFUdgwzCnfcYs,0.843,0.7,4,-3.563,0,0.0803,0,0.14,0.899,93.991,226088,4
13,0,2/11/2022,Dove Cameron,Boyfriend,Boyfriend,59CfNbkERJ3NoTXDvoURjj,0.345,0.612,7,-6.543,0,0.0608,0,0.194,0.232,179.773,153000,3
15,0,2/11/2022,Internet Money,Options (feat. 24kGoldn),Options (feat. 24kGoldn),6bhgpD7OkCATudfKJ50JB6,0.802,0.793,7,-5.838,1,0.0938,0,0.0858,0.758,81.991,128811,4
16,0,2/11/2022,Yeat,Still Countin,Still Countin,7ASlpfqBORcItmtn0cNDtI,0.735,0.791,2,-5.522,1,0.051,0,0.131,0.205,141.008,170160,4
17,0,2/11/2022,Diplo,Don't Forget My Love,Don't Forget My Love,2OZZpID4LgZ0GGm8XB99e3,0.638,0.872,2,-6.221,1,0.0415,0.0159,0.118,0.253,121.041,199091,4
20,0,2/11/2022,Maren Morris,Background Music,Background Music,5PBQsqit9PJ4OS1KWkto3h,0.269,0.41,1,-7.521,1,0.0321,2.21E-06,0.122,0.119,171.262,214187,3
24,0,2/11/2022,Jung Kook,Stay Alive (Prod. SUGA of BTS),Stay Alive (Prod. SUGA of BTS),7CAdT0HdiQNlt1C7xk2hep,0.512,0.76,2,-5.889,0,0.0682,0,0.103,0.495,130.096,210928,4
26,0,2/11/2022,Eddie Vedder,Earthling,Invincible,6NTaNlVIeigg3ERXef5wjM,0.579,0.732,7,-5.529,1,0.0267,2.78E-06,0.143,0.188,107.019,286951,4
27,0,2/11/2022,Mozzy,Real Ones (feat. Roddy Ricch),Real Ones (feat. Roddy Ricch),2MyXR1s4usYNULsxZ85r44,0.579,0.674,7,-7.651,1,0.519,0,0.214,0.547,80.247,183611,4
28,0,2/11/2022,Rema,Calm Down,Calm Down,0prHRcmwD2Kk6no5sMovDD,0.811,0.781,11,-6.333,1,0.0428,0.001,0.121,0.824,107.007,219813,4
30,0,2/11/2022,Claire Rosinkranz,i h8 that i still feel bad for u,i h8 that i still feel bad for u,5HydZtPFOvbmqXiTcTFykW,0.667,0.637,5,-7.699,0,0.052,0.000138,0.0643,0.597,144.027,175030,4
31,0,2/11/2022,Dustin Lynch,Blue In The Sky,Party Mode,7ivOkXLuP1182ZtzA54Vbw,0.619,0.916,10,-2.752,0,0.0468,4.88E-06,0.246,0.785,114.019,211987,4
32,0,2/11/2022,Orville Peck,Bronco: Chapter 1,"C'mon Baby, Cry",6RdQx3nZNjYIZ9nlBw6JLG,0.558,0.852,2,-4.388,1,0.041,0.000707,0.111,0.357,117.962,210840,4
34,0,2/11/2022,Felix Cartal,Nothing Good Comes Easy,Nothing Good Comes Easy,1m66iYSRv0qEQBo0RqyPaw,0.647,0.773,4,-5.893,0,0.0403,0.0107,0.714,0.0682,121.997,174344,4
35,0,2/11/2022,KayCyy,OKAY! (Prod. Gesaffelstein),OKAY! (Prod. Gesaffelstein),5UdXcCJfEye6TCwAvUvzgD,0.554,0.619,0,-5.347,0,0.0334,1.01E-06,0.151,0.155,121.054,275693,4
36,0,2/11/2022,Kim Petras,Slut Pop,Treat Me Like A Slut,0dlP9SnqQa5k1A9mReybFb,0.928,0.745,9,-4.618,1,0.135,2.03E-05,0.105,0.562,130.022,118154,4
38,0,2/11/2022,Jack White,Love Is Selfish,Fear Of The Dawn,4v6soAl2R4sJB6Iyt2aiHw,0.285,0.923,0,-6.701,1,0.0973,0.000133,0.525,0.16,139.211,122901,4
41,0,2/11/2022,The Head And The Heart,Virginia (Wind In The Night),Virginia (Wind In The Night),03gx5xXMcfEK7ZnOHsjvJL,0.265,0.79,7,-3.702,1,0.0366,0,0.0523,0.248,136.075,205293,4
43,0,2/11/2022,Kali,UonU (feat. Yung Bleu),UonU (feat. Yung Bleu),3udY2LgfOU8GOWBnoYmFsP,0.66,0.445,4,-9.243,0,0.169,1.98E-06,0.204,0.227,159.945,218205,4
45,0,2/11/2022,Snoop Dogg,BODR,Coming Back,34OfVb8885GyOLPN1wHQ9U,0.832,0.636,2,-3.736,1,0.357,0,0.213,0.681,105.028,211362,4
47,0,2/11/2022,Said The Sky,Walk Me Home,Walk Me Home,2qTtA6lgLLwfuYphfT4f8C,0.4,0.485,8,-7.145,0,0.0369,0,0.135,0.211,159.909,216125,3
48,0,2/11/2022,ayokay,Waiting For,Waiting For (with slenderbodies),2cIgxV4ThK2YjqwFQRt0yn,0.792,0.58,6,-9.774,1,0.0452,2.25E-05,0.0772,0.919,141.997,179227,4
49,0,2/11/2022,Jenna Raine,see you later,2%,4fV8zuE5GmRCjzl8b3JUgg,0.648,0.54,2,-5.338,1,0.0318,0,0.0661,0.358,106.08,207741,4
50,0,2/11/2022,Thomas Rhett,Us Someday,Us Someday,5QcjrDZhf8zvP6XV6EGOkE,0.52,0.643,10,-6.37,1,0.0237,2.28E-06,0.0982,0.745,155.988,143733,4
51,0,2/11/2022,Priscilla Block,Welcome To The Block Party,Ever Since You Left,3miEfV2k8EEbn64jYaEq9m,0.607,0.924,4,-3.244,1,0.0758,0,0.338,0.71,140.022,164187,4
52,0,2/11/2022,Big Thief,Dragon New Warm Mountain I Believe In You,Red Moon,3AqSeHqtg45ddsAYJeuCqm,0.434,0.842,7,-5.394,1,0.074,4.36E-05,0.096,0.661,151.221,259591,4
54,0,2/11/2022,Nina Nesbitt,When You Lose Someone,When You Lose Someone,3ECh9S9MgoL9SrpZFh0Y5Z,0.527,0.415,3,-4.743,1,0.0303,0,0.093,0.341,130.005,200282,4
55,0,2/11/2022,Bow Anderson,20s,20s,62Vz24WH66GYadBPFJKwT7,0.629,0.681,2,-6.724,1,0.18,0,0.362,0.377,150.016,184458,4
56,0,2/11/2022,Raveena,Asha’s Awakening,Love Overgrown,2e4oIsOkGJNQ4Ab9sjOm52,0.369,0.337,9,-11.194,1,0.0872,0.00216,0.096,0.224,77.402,200440,4
58,0,2/11/2022,Duke Deuce,Falling Off,Falling Off (feat. Rico Nasty),5UVmvehbEDP74A8i6VP381,0.756,0.85,2,-2.436,1,0.0916,0,0.372,0.109,124.004,264273,4
59,0,2/11/2022,Juicy J,Stoner's Night,Weak,1r2mef8nQFVUZjyBalNNhW,0.866,0.719,11,-5.774,0,0.266,0,0.36,0.757,153.109,211639,4
65,0,2/11/2022,Aiyana-Lee,WEDNESDAY'S CHILD (SIDE A),Make You Love Me,2HQM8xlOk1K7cGsCmnfKEn,0.656,0.859,10,-3.158,0,0.0773,0,0.102,0.584,137.918,190133,4
67,0,2/11/2022,Wilkinson,Cognition,Here For You,1QgebV92VO4Z7VxbQ1tSKo,0.358,0.78,11,-3.4,0,0.0447,0.00062,0.265,0.0402,173.917,226207,4
69,0,2/11/2022,Chase Matthew,Born for This,Can't Hide Love,2U1drF0wHxIHWhkl4JN7js,0.567,0.597,1,-6.135,1,0.0298,0,0.28,0.562,172.026,149302,4
70,0,2/11/2022,Joe Nichols,Good Day for Living,I Got Friends That Do (feat. Blake Shelton),1s2Vi3OgIbUJMUogVPx61p,0.673,0.922,7,-4.707,1,0.0389,0,0.207,0.812,115.055,195427,4
71,0,2/11/2022,LAUNDRY DAY,We Switched Bodies,We Switched Bodies,789yS6pnNZ3YHAFvPXLYtP,0.509,0.443,4,-8.999,1,0.0363,0,0.234,0.304,85.028,219200,4
72,0,2/11/2022,Myd,The Sun,The Sun (feat. JAWNY),4SlGfTlNnFpn3eaHIPGRLC,0.741,0.737,5,-6.667,0,0.0348,0,0.408,0.835,126.024,159427,4
73,0,2/11/2022,Aidan Bissett,Grocery Store Girl,Grocery Store Girl,1xUzY52IQQ5psQnhesko3U,0.607,0.762,7,-6.371,1,0.049,0,0.0649,0.563,144.955,163984,4
74,0,2/11/2022,Mckenna Grace,do all my friends hate me?,do all my friends hate me?,2VgE8fT65dU0FgyA4z5nqN,0.416,0.417,3,-6.931,1,0.0311,0,0.0834,0.174,113.661,204413,4
75,0,2/11/2022,victoria,closer (vol.1 ch.1),closer (vol.1 ch.1),2uYAPuX6LmkGOwxPfKXNeL,0.526,0.269,10,-12.633,1,0.0312,1.69E-05,0.106,0.105,94.978,194872,4
76,0,2/11/2022,Jonah Kagen,Drowning,Drowning,4mXPA7pFHil9wtWk6LaGmT,0.472,0.607,2,-5.966,0,0.0319,0,0.499,0.475,82.546,163095,4
78,0,2/11/2022,Sada Baby,Perfect Form Skub,Perfect Form Skub,4zZZkZ92eUCkmeVwzxMnnJ,0.593,0.682,2,-8.376,1,0.471,0,0.374,0.633,119.969,188392,5
79,0,2/11/2022,Eli Derby,Love Song,Love Song,3bT4hHXBasKx8ZUUZFwknt,0.737,0.531,6,-6.245,0,0.0642,0,0.119,0.651,90.134,164683,4
