,cover_image,album_release_date,artist,album,album_id,total_tracks
32,"=IMAGE(""https://i.scdn.co/image/ab67616d00001e027edad7e970665865519817f3"")",2022-02-08,ODESZA,The Last Goodbye (feat. Bettye LaVette),4vpnU0Hu4c0KNq2p4nz4U2,1
33,"=IMAGE(""https://i.scdn.co/image/ab67616d00001e02a5d3ee3d90e91740388d51f7"")",2022-02-10,Fred again..,Admit It (U Don't Want 2),1UYiZeZ7VyQ32mPs3djAWC,1
34,"=IMAGE(""https://i.scdn.co/image/ab67616d00001e02b174a0f960f01ca315cada5d"")",2022-02-11,Johnnyswim,Heaven Is Everywhere,5UeiyI4lj9FMmNQWymskL1,2
35,"=IMAGE(""https://i.scdn.co/image/ab67616d00001e02fd6a6ee73c3f38082d117d04"")",2022-02-11,Spoon,Lucifer On The Sofa,1szMY4QqnQZgNuyLBC4jUQ,10
36,"=IMAGE(""https://i.scdn.co/image/ab67616d00001e02d7c587bf79a4178ff841b3a9"")",2022-02-11,Jazmine Sullivan,"Heaux Tales, Mo' Tales: The Deluxe",4cogt2uqKoSyL61tzWaQei,24
37,"=IMAGE(""https://i.scdn.co/image/ab67616d00001e02747bc74626a219caaab90908"")",2022-02-11,Amos Lee,Dreamland,1Mik9EmHCENXPMjHOgOwRB,11
38,"=IMAGE(""https://i.scdn.co/image/ab67616d00001e0224e04f7d0c1f4d58b3c0eb7b"")",2022-02-11,Chase Matthew,Born for This,2N1fClE6geEUJvpSeReyp7,12
39,"=IMAGE(""https://i.scdn.co/image/ab67616d00001e02670aa68cd5acbbfc1de7cd6f"")",2022-02-07,Barrie,Jenny,59SSjg6MrGAdshKUtOTmdV,4
40,"=IMAGE(""https://i.scdn.co/image/ab67616d00001e0294db75d6e6c18a47734ed99e"")",2022-02-11,Felix Cartal,Nothing Good Comes Easy,0YTq3BQL2BoHNIrcnGn3sm,1
41,"=IMAGE(""https://i.scdn.co/image/ab67616d00001e02d3ae35432817774cdb6a40e0"")",2022-01-28,Various Artists,"Summer Of Soul (...Or, When The Revolution Could Not Be Televised) Original Motion Picture Soundtrack [Live at the Harlem Cultural Festival, 1969]",28BxxgJQdogo7eWYbwHH7w,17
42,"=IMAGE(""https://i.scdn.co/image/ab67616d00001e02d8041a531487d0e0e4cfb41f"")",2022-02-04,Mitski,Laurel Hell,4rcinMUHEWOxpIwJo2sf22,11
43,"=IMAGE(""https://i.scdn.co/image/ab67616d00001e027df334f26d1e55dfba843463"")",2022-02-04,Nicki Minaj,Do We Have A Problem?,1fDcx48pkgRmOXQ3weT0ct,1
44,"=IMAGE(""https://i.scdn.co/image/ab67616d00001e02f7916a35ffdd6cb90bbbdf2f"")",2022-02-04,Tate McRae,she's all i wanna be,51oWPUjnGhecw62V8LDXK8,1
45,"=IMAGE(""https://i.scdn.co/image/ab67616d00001e029822f6ccc6dcea6dd3b7c7b7"")",2022-02-04,Sofi Tukker,Original Sin,4DB6Xuvp4AlrNRNGRdhdEW,1
46,"=IMAGE(""https://i.scdn.co/image/ab67616d00001e02cd978943564e211970f83860"")",2022-02-04,ROSALÍA,SAOKO,3OUsI2v5sOR5JTorrsi7If,1
47,"=IMAGE(""https://i.scdn.co/image/ab67616d00001e024c0ec7dcb869186874c703bb"")",2022-02-04,Red Hot Chili Peppers,Black Summer,4a6LkeTXHKjMQgf42wQnbH,1
48,"=IMAGE(""https://i.scdn.co/image/ab67616d00001e02ed1bbd0cdd419a5c8f742ff9"")",2022-02-02,Flume,Say Nothing (feat. MAY-A),3QMl37rC1ye7PKRFH7Bgz9,1
49,"=IMAGE(""https://i.scdn.co/image/ab67616d00001e026dd74b9195ed9621422a3085"")",2022-02-04,2 Chainz,Dope Don't Sell Itself,5IGnGTSdX9jMvEMostmUfu,12
